"","Bloque","Tratamiento","Individuo","AlturaTallo","DiamTallo","CobVeg_anc","CobVeg_lar","Rad.prom","Area.cob","Yesenia","Victor"
"376","B4",5,568,2.8,7.2,26,28,13.5,572.55526111674,572.55526111674,2287.07945181337
"377","B4",5,569,3,10.7,29,28,14.25,637.939658219577,637.939658219577,2550.97323471491
"378","B4",5,565,4,10.4,33,28,15.25,730.616641500476,730.616641500476,2902.83161191697
"379","B4",5,567,4.7,10.6,35.5,28,15.875,791.73043608984,791.73043608984,3122.74309766825
"380","B4",5,583,4.5,10.8,33,29.5,15.625,766.990393942821,766.990393942821,3058.34044826966
"381","B4",5,571,3.5,8.4,32,32,16,804.247719318987,804.247719318987,3216.99087727595
"382","B4",5,584,4.2,9.6,36,33,17.25,934.820163983813,934.820163983813,3732.21207246467
"383","B4",5,580,4.5,10.9,36,33,17.25,934.820163983813,934.820163983813,3732.21207246467
"384","B4",5,577,2.5,10.2,35,34,17.25,934.820163983813,934.820163983813,3738.49525777185
"385","B4",5,573,3.8,8.2,35.5,34,17.375,948.417369687631,948.417369687631,3791.90233288288
"386","B4",5,572,3.7,9.5,39,34,18.25,1046.34670318625,1046.34670318625,4165.75185866007
"387","B4",5,586,4.3,10.4,42,38,20,1256.63706143592,1256.63706143592,5013.98187512931
"388","B4",5,579,4,11.1,45,39,21,1385.4423602331,1385.4423602331,5513.49510705009
"389","B4",5,574,3.8,10.5,38,40,19.5,1194.59060652752,1194.59060652752,4775.22083345649
"390","B4",5,578,4.8,12.6,36,44,20,1256.63706143592,1256.63706143592,4976.28276328623
"391","B4",5,582,2.8,10.9,43,48,22.75,1625.97054777357,1625.97054777357,6484.24723700933
"392","B4",6,535,3.5,9.4,23,20,10.75,363.05030103047,363.05030103047,1445.1326206513
"393","B4",6,542,3.5,10.8,29,25,13.5,572.55526111674,572.55526111674,2277.6546738526
"394","B4",6,543,5.5,11.7,32,31,15.75,779.311327631118,779.311327631118,3116.45991236107
"395","B4",6,529,3.5,12.3,34,31,16.25,829.576810088555,829.576810088555,3311.23865688364
"396","B4",6,540,4.2,12.5,35,31,16.5,855.298599939821,855.298599939821,3408.62802914493
"397","B4",6,541,4,14,39,32,17.75,989.798035421634,989.798035421634,3920.70763168006
"398","B4",6,533,5.2,15.2,49,32,20.25,1288.24933751266,1288.24933751266,4926.0172808288
"399","B4",6,545,4.5,12.1,47,33,20,1256.63706143592,1256.63706143592,4872.61020571777
"400","B4",6,538,5.7,15,36,34,17.5,962.112750161874,962.112750161874,3845.30940799391
"401","B4",6,532,5,10.4,36.5,35,17.875,1003.78794020715,1003.78794020715,4013.38461496096
"402","B4",6,530,5.2,13,40,36,19,1134.11494794592,1134.11494794592,4523.8934211693
"403","B4",6,536,4,10.4,26,37,15.75,779.311327631118,779.311327631118,3022.21213275338
"404","B4",6,537,5.8,13.4,43,37,20,1256.63706143592,1256.63706143592,4998.27391186136
"405","B4",6,528,3.8,11.9,42,41,20.75,1352.65198691126,1352.65198691126,5409.82254948162
"406","B4",6,531,4.5,12.7,43,42,21.25,1418.62543263664,1418.62543263664,5673.71633238317
"407","B4",6,534,6,14.8,52,43,23.75,1772.05460616549,1772.05460616549,7024.60117342678
"408","B4",6,539,5.2,12.9,49,45,23.5,1734.94454294496,1734.94454294496,6927.21180116549
"409","B4",6,544,4.5,13.1,47,46,23.25,1698.22717880613,1698.22717880613,6792.12331706113
"410","B4",7,522,2.5,6.5,22,9.5,7.875,194.82783190778,194.82783190778,656.592864600267
"411","B4",7,526,3.5,9.7,13,13,6.5,132.732289614169,132.732289614169,530.929158456675
"412","B4",7,527,3.2,5.1,21,13.5,8.625,233.705040995953,233.705040995953,890.641517292706
"413","B4",7,520,1.5,8.3,31,19,12.5,490.873852123405,490.873852123405,1850.39807296439
"414","B4",7,516,2.8,9.7,29.5,22,12.875,520.768069717721,520.768069717721,2038.89363217978
"415","B4",7,521,3.7,9.1,27,23,12.5,490.873852123405,490.873852123405,1950.92903787926
"416","B4",7,514,3.5,11.2,25,24.5,12.375,481.105462466149,481.105462466149,1924.22550032375
"417","B4",7,512,3.2,11.4,33,26,14.75,683.492751696629,683.492751696629,2695.48649678004
"418","B4",7,524,4.5,7.9,35,26,15.25,730.616641500476,730.616641500476,2858.84931476671
"419","B4",7,525,1,7,27,27,13.5,572.55526111674,572.55526111674,2290.22104446696
"420","B4",7,508,3,10.7,32,27,14.75,683.492751696629,683.492751696629,2714.33605270158
"421","B4",7,523,2.5,10.4,31,29,15,706.858347057703,706.858347057703,2824.29179557722
"422","B4",7,518,4.5,10.1,33,31,16,804.247719318987,804.247719318987,3213.84928462236
"423","B4",7,509,4,8.9,32,32,16,804.247719318987,804.247719318987,3216.99087727595
"424","B4",7,510,5.5,11.4,47,32,19.75,1225.41748444087,1225.41748444087,4724.95535099905
"425","B4",7,517,4.7,11.7,48,32,20,1256.63706143592,1256.63706143592,4825.48631591392
"426","B4",7,513,3.8,10.6,33,33,16.5,855.298599939821,855.298599939821,3421.19439975928
"427","B4",7,519,3,10.6,37,34,17.75,989.798035421634,989.798035421634,3952.12355821596
"428","B4",7,511,3.8,9.4,38,35,18.25,1046.34670318625,1046.34670318625,4178.31822927442
"429","B4",7,507,5,4.9,40,35,18.75,1104.46616727766,1104.46616727766,4398.22971502571
"430","B5",1,709,1.3,3.1,7,5,3,28.2743338823081,28.2743338823081,109.955742875643
"431","B5",1,700,2,3,10.5,9.5,5,78.5398163397448,78.5398163397448,313.373867195582
"432","B5",1,693,2.2,5.3,17.5,12,7.375,170.873187924157,170.873187924157,659.734457253857
"433","B5",1,704,1.6,4.5,17,14,7.75,188.691908756237,188.691908756237,747.699051554371
"434","B5",1,703,3.9,1.7,19,15,8.5,226.980069221863,226.980069221863,895.353906273091
"435","B5",1,692,2.7,6,24.5,16,10.125,322.062334378166,322.062334378166,1231.5043202072
"436","B5",1,696,3.2,8,19,18,9.25,268.802521422777,268.802521422777,1074.42468752771
"437","B5",1,701,1.2,10.5,22,18,10,314.159265358979,314.159265358979,1244.07069082156
"438","B5",1,687,2.5,6.4,25,19.5,11.125,388.821178266949,388.821178266949,1531.52641862502
"439","B5",1,708,3,6,22,20,10.5,346.360590058275,346.360590058275,1382.30076757951
"440","B5",1,688,1.7,5.9,23,20,10.75,363.05030103047,363.05030103047,1445.1326206513
"441","B5",1,707,2,5.8,21,20.5,10.375,338.162996727814,338.162996727814,1352.45563737041
"442","B5",1,705,3,8.1,27,21,12,452.38934211693,452.38934211693,1781.28303458541
"443","B5",1,699,2,6.7,30,21,12.75,510.705155749191,510.705155749191,1979.20337176157
"444","B5",1,691,3,7.5,24,22,11.5,415.47562843725,415.47562843725,1658.76092109541
"445","B5",1,689,2.2,6.2,23.5,23.5,11.75,433.736135736241,433.736135736241,1734.94454294496
"446","B5",1,706,2.3,7.2,26.5,24,12.625,500.740416551086,500.740416551086,1998.05292768311
"447","B5",1,695,2,9.3,30,24,13.5,572.55526111674,572.55526111674,2261.94671058465
"448","B5",1,694,2.8,8.9,29,25,13.5,572.55526111674,572.55526111674,2277.6546738526
"449","B5",1,690,3.3,7.7,30,25,13.75,593.95736106932,593.95736106932,2356.19449019234
"450","B5",1,697,2.7,9.2,28,27,13.75,593.95736106932,593.95736106932,2375.04404611388
"451","B5",1,702,3.2,7.3,28.3,27,13.825,600.454567376026,600.454567376026,2400.49094660796
"452","B5",1,698,3.7,12.2,40,38,19.5,1194.59060652752,1194.59060652752,4775.22083345649
"453","B5",2,739,1,4.7,7,5,3,28.2743338823081,28.2743338823081,109.955742875643
"454","B5",2,733,2.3,4.1,11,9,5,78.5398163397448,78.5398163397448,311.01767270539
"455","B5",2,744,3.5,5.9,15,10,6.25,122.718463030851,122.718463030851,471.238898038469
"456","B5",2,745,1.7,6.4,20,17,9.25,268.802521422777,268.802521422777,1068.14150222053
"457","B5",2,742,2.5,5.2,17,18,8.75,240.528187540469,240.528187540469,961.327351998477
"458","B5",2,734,3.5,11.1,36,22,14.5,660.519855417254,660.519855417254,2488.14138164312
"459","B5",2,737,3,9.5,28,23,12.75,510.705155749191,510.705155749191,2023.18566891183
"460","B5",2,740,2,9.8,30,27,14.25,637.939658219577,637.939658219577,2544.69004940773
"461","B5",2,738,3.2,7,34,32,16.5,855.298599939821,855.298599939821,3418.0528071057
"462","B5",2,735,3.2,9.8,35,32,16.75,881.413088872786,881.413088872786,3518.58377202057
"463","B5",2,743,3.5,10.2,45,32,19.25,1164.15642769587,1164.15642769587,4523.8934211693
"464","B5",2,746,1.7,9.5,39,33,18,1017.87601976309,1017.87601976309,4043.22974517006
"465","B5",2,747,4.6,9.1,40,34,18.5,1075.21008569111,1075.21008569111,4272.56600888212
"466","B5",2,741,4.3,13.8,44,44,22,1520.53084433746,1520.53084433746,6082.12337734984
"467","B5",3,725,2,4.7,19.5,1,5.125,82.5158945419444,82.5158945419444,61.261056745001
"468","B5",3,713,1.5,3,5,6,2.75,23.7582944427728,23.7582944427728,94.2477796076938
"469","B5",3,722,2,2.8,9,8,4.25,56.7450173054656,56.7450173054656,226.194671058465
"470","B5",3,723,2.2,3.2,12.5,8,5.125,82.5158945419444,82.5158945419444,314.159265358979
"471","B5",3,728,1.2,2.9,13,9,5.5,95.0331777710912,95.0331777710912,367.566340470006
"472","B5",3,716,1,4.3,9,9.7,4.675,68.6614709396134,68.6614709396134,274.261038658389
"473","B5",3,710,2,3.2,10,10,5,78.5398163397448,78.5398163397448,314.159265358979
"474","B5",3,714,8.7,2.8,12,11,5.75,103.868907109313,103.868907109313,414.690230273853
"475","B5",3,711,3.3,6.3,26,11,9.25,268.802521422777,268.802521422777,898.495498926681
"476","B5",3,718,2,4.4,17,12,7.25,165.129963854314,165.129963854314,640.884901332318
"477","B5",3,732,3.3,3.5,17,13,7.5,176.714586764426,176.714586764426,694.291976443344
"478","B5",3,731,2.5,3.7,16,14,7.5,176.714586764426,176.714586764426,703.716754404114
"479","B5",3,712,3,3.6,20,15,8.75,240.528187540469,240.528187540469,942.477796076938
"480","B5",3,720,2.3,5.3,24,16,10,314.159265358979,314.159265358979,1206.37157897848
"481","B5",3,717,1.7,7.4,14,16.5,7.625,182.654160375119,182.654160375119,725.707902979242
"482","B5",3,719,2.5,4.9,18,17,8.75,240.528187540469,240.528187540469,961.327351998477
"483","B5",3,715,2.5,6.4,24,18,10.5,346.360590058275,346.360590058275,1357.16802635079
"484","B5",3,729,6.5,7.1,24,18,10.5,346.360590058275,346.360590058275,1357.16802635079
"485","B5",3,721,2,5.1,18,20,9.5,283.528736986479,283.528736986479,1130.97335529233
"486","B5",3,727,3,6.1,24.5,21,11.375,406.492636943392,406.492636943392,1616.34942027195
"487","B5",3,730,2.9,7,29,22,12.75,510.705155749191,510.705155749191,2004.33611299029
"488","B5",3,726,3.2,5.4,29,24.5,13.375,562.001473296087,562.001473296087,2232.10158037555
"489","B5",4,785,2.5,7.8,22,17,9.75,298.64765163188,298.64765163188,1174.95565244258
"490","B5",4,782,2.2,9.9,27,19,11.5,415.47562843725,415.47562843725,1611.63703129156
"491","B5",4,770,11.7,6.4,28,22,12.5,490.873852123405,490.873852123405,1935.22107461131
"492","B5",4,780,3.5,8.8,27,23,12.5,490.873852123405,490.873852123405,1950.92903787926
"493","B5",4,764,3,6.6,28,23.5,12.875,520.768069717721,520.768069717721,2067.16796606208
"494","B5",4,781,3,6.4,25,24,12.25,471.435247579318,471.435247579318,1884.95559215388
"495","B5",4,766,2.3,7.8,25,24,12.25,471.435247579318,471.435247579318,1884.95559215388
"496","B5",4,784,2.5,7.4,26,24,12.5,490.873852123405,490.873852123405,1960.35381584003
"497","B5",4,771,3.2,6.6,28,24,13,530.929158456675,530.929158456675,2111.15026321234
"498","B5",4,779,2,6.9,28,24,13,530.929158456675,530.929158456675,2111.15026321234
"499","B5",4,783,3,7.6,34,24,14.5,660.519855417254,660.519855417254,2563.53960532927
"500","B5",4,712,3.1,8.3,27,26,13.25,551.545860245858,551.545860245858,2205.39804282003
"501","B5",4,768,3.5,9.5,28,27,13.75,593.95736106932,593.95736106932,2375.04404611388
"502","B5",4,778,3,10.7,38,27,16.25,829.576810088555,829.576810088555,3223.27406258313
"503","B5",4,773,3.2,8.5,35,30,16.25,829.576810088555,829.576810088555,3298.67228626928
"504","B5",4,769,4,9.7,36,30,16.5,855.298599939821,855.298599939821,3392.92006587698
"505","B5",4,776,3,9.2,35,32,16.75,881.413088872786,881.413088872786,3518.58377202057
"506","B5",4,774,3,9,36,32,17,907.92027688745,907.92027688745,3619.11473693544
"507","B5",4,775,3.5,9.5,39,33,18,1017.87601976309,1017.87601976309,4043.22974517006
"508","B5",4,765,3.5,9.6,39,34,18.25,1046.34670318625,1046.34670318625,4165.75185866007
"509","B5",4,767,3.2,7.9,36,35,17.75,989.798035421634,989.798035421634,3958.40674352314
"510","B5",4,777,2,10.1,29,32,15.25,730.616641500476,730.616641500476,2915.39798253133
"511","B5",5,686,2.2,4.1,12,11,5.75,103.868907109313,103.868907109313,414.690230273853
"512","B5",5,685,2.7,11.2,41,15,14,615.752160103599,615.752160103599,1932.07948195772
"513","B5",5,668,2.4,6.2,20,19.5,9.875,306.354371110217,306.354371110217,1225.22113490002
"514","B5",5,675,3.3,7.6,32,23,13.75,593.95736106932,593.95736106932,2312.21219304209
"515","B5",5,684,2,9.2,34,27,15.25,730.616641500476,730.616641500476,2883.98205599543
"516","B5",5,672,2.7,9.3,32,28,15,706.858347057703,706.858347057703,2814.86701761645
"517","B5",5,679,4.3,11.8,33,32,16.25,829.576810088555,829.576810088555,3317.52184219082
"518","B5",5,681,4,10.3,34,33,16.75,881.413088872786,881.413088872786,3524.86695732775
"519","B5",5,676,3.5,8.9,35,34,17.25,934.820163983813,934.820163983813,3738.49525777185
"520","B5",5,674,3.5,14.2,37,34,17.75,989.798035421634,989.798035421634,3952.12355821596
"521","B5",5,671,4.3,7.2,36,35,17.75,989.798035421634,989.798035421634,3958.40674352314
"522","B5",5,673,3.4,10,36,35,17.75,989.798035421634,989.798035421634,3958.40674352314
"523","B5",5,667,6,10.8,43,37,20,1256.63706143592,1256.63706143592,4998.27391186136
"524","B5",5,670,4.9,12,42,39,20.25,1288.24933751266,1288.24933751266,5145.92876658008
"525","B5",5,675,3.3,11.7,47,39,21.5,1452.20120412188,1452.20120412188,5758.53933403009
"526","B5",5,669,4.7,13.2,38,40,19.5,1194.59060652752,1194.59060652752,4775.22083345649
"527","B5",5,682,3.8,10.6,42,41,20.75,1352.65198691126,1352.65198691126,5409.82254948162
"528","B5",5,680,5.2,11.4,43,42,21.25,1418.62543263664,1418.62543263664,5673.71633238317
"529","B5",5,683,4.5,14.7,43,42,21.25,1418.62543263664,1418.62543263664,5673.71633238317
"530","B5",5,678,5,13.2,43,42.5,21.375,1435.36423099405,1435.36423099405,5741.26057443535
"531","B5",6,650,2.9,11.1,45,7,13,530.929158456675,530.929158456675,989.601685880785
"532","B5",6,656,2.5,4.3,10.5,10,5.125,82.5158945419444,82.5158945419444,329.867228626928
"533","B5",6,649,3,8.4,28,23,12.75,510.705155749191,510.705155749191,2023.18566891183
"534","B5",6,666,3.3,9.4,41,25,16.5,855.298599939821,855.298599939821,3220.13246992954
"535","B5",6,658,3.5,9.2,33,28,15.25,730.616641500476,730.616641500476,2902.83161191697
"536","B5",6,655,3.5,9.3,30,29,14.75,683.492751696629,683.492751696629,2733.18560862312
"537","B5",6,651,2.3,12.4,33,29,15.5,754.767635024948,754.767635024948,3006.50416948543
"538","B5",6,664,3.5,10,32,31,15.75,779.311327631118,779.311327631118,3116.45991236107
"539","B5",6,653,11.8,3.2,36.5,32,17.125,921.321133050419,921.321133050419,3669.38021939288
"540","B5",6,652,4.5,9.8,42,33,18.75,1104.46616727766,1104.46616727766,4354.24741787545
"541","B5",6,662,4.9,16.4,37,35,18,1017.87601976309,1017.87601976309,4068.36248639878
"542","B5",6,660,4,10.6,38,35,18.25,1046.34670318625,1046.34670318625,4178.31822927442
"543","B5",6,661,3.8,8.9,37,36,18.25,1046.34670318625,1046.34670318625,4184.6014145816
"544","B5",6,659,3.2,9.9,39,36,18.75,1104.46616727766,1104.46616727766,4410.79608564007
"545","B5",6,665,5.3,10.8,38,36.5,18.625,1089.78903909917,1089.78903909917,4357.38901052904
"546","B5",6,657,4.6,11.3,39,38,19.25,1164.15642769587,1164.15642769587,4655.84031262007
"547","B5",6,663,4.4,12.8,49,39,22,1520.53084433746,1520.53084433746,6003.58356101009
"548","B5",6,654,4,9.2,35.3,40,18.825,1113.31956807456,1113.31956807456,4435.92882686879
"549","B5",7,755,1.1,2.6,9,7.5,4.125,53.4561624962388,53.4561624962388,212.057504117311
"550","B5",7,760,2.7,3.5,18,15,8.25,213.824649984955,213.824649984955,848.230016469244
"551","B5",7,763,2.5,5,19.6,18,9.4,277.591126871194,277.591126871194,1108.35388818648
"552","B5",7,762,5.3,4.3,31,23,13.5,572.55526111674,572.55526111674,2239.95556200952
"553","B5",7,758,2.7,7.95,34,24,14.5,660.519855417254,660.519855417254,2563.53960532927
"554","B5",7,748,2.3,7.5,29,25,13.5,572.55526111674,572.55526111674,2277.6546738526
"555","B5",7,750,2.1,8.6,29,27,14,615.752160103599,615.752160103599,2459.86704776081
"556","B5",7,761,2.7,6.6,32,27,14.75,683.492751696629,683.492751696629,2714.33605270158
"557","B5",7,752,3,9.9,36,32,17,907.92027688745,907.92027688745,3619.11473693544
"558","B5",7,754,5,13.7,40,32,18,1017.87601976309,1017.87601976309,4021.23859659494
"559","B5",7,749,4.5,8,37,33,17.5,962.112750161874,962.112750161874,3835.88463003314
"560","B5",7,753,2.8,9.7,39,38,19.25,1164.15642769587,1164.15642769587,4655.84031262007
"561","B5",7,757,4.7,9.6,40,39,19.75,1225.41748444087,1225.41748444087,4900.88453960008
"562","B5",7,759,3.7,8.5,44,40,21,1385.4423602331,1385.4423602331,5529.20307031804
"563","B5",7,751,3.5,11.1,42,42,21,1385.4423602331,1385.4423602331,5541.76944093239
"564","B5",7,756,4.7,13.7,47,44,22.75,1625.97054777357,1625.97054777357,6496.81360762369
