Bloque,Individuo,AlturaTallo,DiamTallo,CobVeg_anc,CobVeg_lar
B2T1,236,2,6,19,8
B2T1,231,3,6.7,20,17
B2T1,220,2.5,8.1,21,20
B2T1,224,3,9.7,24,21
B2T1,227,2.8,8,29,21
B2T1,223,2.5,9.5,31,21.5
B2T1,229,4,9.5,24,22.5
B2T1,219,3,8.2,25,23
B2T1,232,2.5,10,27,23
B2T1,235,3.5,8.6,36,24
B2T1,221,3.7,9.1,35,27
B2T1,228,3,4.1,31,28
B2T1,233,3.5,10.7,33,28
B2T1,257,4,9.9,36,30
B2T1,234,4.2,10.7,31.5,31
B2T1,238,3.8,10.6,37,31
B2T1,239,3.3,10.9,32,31.5
B2T1,222,3.7,8.6,33,32
B2T1,230,4,12.2,40,35
B2T1,225,3.5,10,38,36
B2T1,226,3.2,10.1,38,36
B2T2,307,2.8,4.8,16,12
B2T2,314,4.3,10.1,32,17
B2T2,300,3,8.6,24,19
B2T2,301,3.3,7.8,22,21
B2T2,315,3,6.9,20,25
B2T2,316,3.7,10.2,38,26
B2T2,305,4.3,10.6,31,29
B2T2,321,4.3,10.5,34,29
B2T2,317,4,10.2,17,30
B2T2,303,3.2,10.7,31,30
B2T2,304,5,12.7,41,30
B2T2,310,4.2,9.8,42,30
B2T2,319,4.5,11.6,44,30
B2T2,309,4.3,10.3,37,31
B2T2,308,3.7,10.2,33,32
B2T2,311,4,10.2,33,32
B2T2,318,3.7,12.5,34,34
B2T2,302,3.5,10.3,39,34.5
B2T2,306,3.5,12,41,37
B2T2,312,5.3,14.6,39,39
B2T2,320,7,12.8,46,43
B2T2,313,5.8,13.8,49,47
B2T3,277,1,2.5,5,3
B2T3,266,1.3,2.3,8.5,5.5
B2T3,274,1,2.7,10,8
B2T3,270,2.3,3.6,16.5,11
B2T3,268,2.5,4.1,18,12
B2T3,264,1.5,5.5,18,12
B2T3,273,2.2,5.7,13,13
B2T3,278,2.2,4.8,17.5,13
B2T3,279,2,3.7,19,13.7
B2T3,272,2,3.7,15,15
B2T3,275,3.2,6.3,23,16
B2T3,267,1.5,6,28,20
B2T3,271,2.5,6.1,28,21
B2T3,265,2,5.8,26,23
B2T3,269,NA,NA,NA,NA
B2T4,342,4.9,3.5,19.5,14.5
B2T4,340,3.3,7.5,32,16.5
B2T4,327,1.7,7.6,18,17.5
B2T4,328,2.7,9.6,25,18
B2T4,323,2.5,6.3,25,19
B2T4,338,2.3,9.1,22,21
B2T4,337,3.2,9.7,36,21
B2T4,332,3,7.9,25,22
B2T4,324,2.5,9.4,32,23
B2T4,334,3,11.8,32,24
B2T4,331,3,9,38,24
B2T4,341,3,6,28,25
B2T4,339,4,9.7,36,25
B2T4,344,3.5,7.7,32,26
B2T4,322,2,9,28,27
B2T4,329,3.3,10.7,34,28
B2T4,326,4.2,9.2,42,28
B2T4,335,3.2,8.8,36,29
B2T4,330,3.5,4.9,31.5,31
B2T4,325,3.8,10.6,33.5,31
B2T4,333,4,11.8,36,33
B2T4,336,3.5,8.3,36,34
B2T4,343,4,11.4,36,36
B2T5,365,1,7.7,11,4
B2T5,349,3.5,5.5,27,13
B2T5,364,3.2,9.2,31,19
B2T5,363,3.2,9.2,31,19
B2T5,352,4,9.4,27,20
B2T5,346,2.7,7.3,28,22
B2T5,357,3,9.5,36,22
B2T5,361,3,11.1,38,22
B2T5,345,3,8.4,31,23
B2T5,366,3.2,7.6,26.5,25
B2T5,347,4.2,9.1,32,26
B2T5,359,3.8,9.5,33,27
B2T5,351,3.5,10.3,30,28
B2T5,353,4,9.4,32,29
B2T5,368,4,9.8,32,30
B2T5,348,2.7,9.2,33,30
B2T5,367,3,9,34,30
B2T5,362,3.5,11.5,34,32
B2T5,354,3.3,10.6,37,33
B2T5,350,3.8,9.8,30,34
B2T5,360,3.5,9.6,34,34
B2T5,355,4.5,10.2,40,34
B2T5,356,4.5,11.5,24,36
B2T5,358,4.5,11.5,40,38
B2T6,262,3.3,8.3,21,10
B2T6,253,1.5,5.6,18,12
B2T6,252,1.7,7.2,21,13.5
B2T6,245,4,9.4,22,17
B2T6,260,2,9,24,17
B2T6,261,3.8,9.4,24,19
B2T6,258,3.5,7.9,25,19
B2T6,242,2.2,5.3,13.5,19.5
B2T6,244,2.3,8.8,24.5,20
B2T6,247,2.8,8.3,24,22
B2T6,257,3,8.8,24,23
B2T6,256,2.8,6.9,25,23
B2T6,255,3.5,9.3,25,23
B2T6,254,3,11.3,30,23.5
B2T6,246,3.8,8.6,24,24
B2T6,248,3,7.8,32,24
B2T6,263,4,11.7,25,25
B2T6,241,3,9.3,39,25
B2T6,249,4.2,11.2,35,27
B2T6,243,3.8,7.3,33,29
B2T6,240,3.7,9.5,30,30
B2T6,251,3,9.4,23,32
B2T6,259,3.3,8.5,33,34
B2T6,250,3,7.5,26,NA
B2T7,291,2.5,5.4,25,14
B2T7,289,2.8,11.1,30,21
B2T7,283,3.5,7.6,31,21
B2T7,290,3.4,8.3,23.5,22
B2T7,295,4,8.1,29,22
B2T7,298,3,9.1,33.5,22
B2T7,281,3.2,12.9,27,27
B2T7,286,3,7.6,31,27
B2T7,288,4.2,9.3,35,28
B2T7,285,4.3,12.6,36,30
B2T7,293,4.2,12.9,43,31
B2T7,297,3.3,11.9,34,32
B2T7,282,3.5,10.8,36,32
B2T7,296,3.7,8.7,38,32
B2T7,299,4,10.2,35,33
B2T7,284,5.2,11.1,36,33
B2T7,294,4.2,12,38,37
B2T7,287,4.8,9.7,41,37
B2T7,292,4.2,10.7,42,42
B2T7,280,4.5,11.4,45,42
B3T1,461,3,6.8,24,18
B3T1,445,4.2,7.9,33,19
B3T1,466,3.3,8,27,22
B3T1,456,2.5,7.7,23,23
B3T1,449,2.5,8.8,32,23
B3T1,452,3.5,11.1,32,23
B3T1,447,3.7,9.6,25,24
B3T1,463,3.5,11.7,33,28
B3T1,455,4.5,11.4,36,29
B3T1,454,4.5,11.4,36,29
B3T1,462,3.8,11.8,32,30
B3T1,459,4,10.8,33,30
B3T1,448,3.5,8.5,31,31
B3T1,464,2.5,10.2,33,31
B3T1,451,4.5,10.1,35,32
B3T1,453,2.8,11,35,33
B3T1,460,4.5,11.2,46,33
B3T1,457,4.5,12.6,36,34
B3T1,450,5,12.2,43,42
B3T1,450,4.5,10.3,47,42
B3T1,950,4,11.7,32,45
B3T1,453,NA,NA,NA,NA
B3T2,498,2.5,5.3,19,10
B3T2,487,4.8,12,38,21
B3T2,489,3.5,9.5,33,22
B3T2,494,3.5,9.8,33,24.5
B3T2,492,5,12.1,35,26
B3T2,503,3,11.2,39,28
B3T2,493,4,12.6,39,29
B3T2,497,4.2,11.4,42,29
B3T2,496,4.5,11.6,33,31
B3T2,490,4.7,13.9,36,31
B3T2,501,4,17.3,34,32
B3T2,502,4.5,14.4,47,32
B3T2,506,4.5,11.1,40,33
B3T2,505,3,12.4,38,34
B3T2,500,3.5,12.2,36,35
B3T2,488,5.5,14.8,28,36
B3T2,915,3.3,12.2,19,39
B3T2,504,3.3,8.1,44,39
B3T2,499,6.5,13.3,50,42
B3T3,394,2,3.2,15,7.5
B3T3,397,1,3,12.5,8
B3T3,398,2.3,5.2,17.5,11.5
B3T3,391,1,3.8,14,12
B3T3,396,1.8,5.1,17,15.5
B3T3,387,4,4.9,21,18
B3T3,395,2.5,5.2,12.5,19
B3T3,390,1.8,5.4,24.5,19
B3T3,388,3,7.4,22,21
B3T3,386,4.3,5.3,20,22
B3T3,389,2,7,24,23
B3T3,392,3.2,7.3,31,23
B3T3,393,2.5,6.7,25,24
B3T3,385,3.5,7.1,32,25
B3T3,384,4,10.3,32,29
B3T4,466,3.8,11.1,20,18
B3T4,481,2.5,7.6,19,19
B3T4,471,3.2,11.1,34,25
B3T4,466,4.2,10.7,43,25
B3T4,468,3,9.8,39,26
B3T4,467,4,11.2,31,27
B3T4,470,5.5,14.1,41,28
B3T4,483,3.7,10.9,31,31
B3T4,474,4.7,11.9,33,31
B3T4,486,4.3,10.5,35,31
B3T4,475,4.5,9.5,37,31
B3T4,478,3,9.8,37,31
B3T4,472,3.8,14.6,40,31
B3T4,465,4.5,7,35,32
B3T4,469,5.5,11.8,36,32
B3T4,473,3.7,10.7,36.5,33
B3T4,470,4.5,14,37,34
B3T4,479,4.5,9.7,38,35
B3T4,476,3.3,9.6,36,36
B3T4,482,4,11.7,38,37
B3T4,480,4,13.3,44,38
B3T4,484,4.5,13,39,40
B3T4,485,4.5,10,39.5,41
B3T4,477,4,12.1,41,41
B3T5,405,4,9.7,34,18
B3T5,403,3.5,10.7,21,21
B3T5,415,4.8,10.2,30,23
B3T5,401,4.3,11.2,41,27
B3T5,399,4,13.1,38,28
B3T5,406,4,10.4,32,29
B3T5,419,4,12.3,38,31
B3T5,420,4.2,10.9,42,32
B3T5,407,5,10.7,43,32
B3T5,416,4.5,11.1,36,34
B3T5,404,4.5,13.6,43,35
B3T5,411,4.3,11.3,40,36
B3T5,402,4.7,11.7,41,37
B3T5,414,4.3,11.9,38,38
B3T5,418,3.3,12.4,39,38
B3T5,400,4.5,11.3,42,38
B3T5,417,4.5,12.3,39,39
B3T5,409,4.2,15.1,40,39
B3T5,408,4.5,14,40,40
B3T5,410,4.2,14.4,48,41
B3T5,413,4.7,14.7,48,41
B3T5,412,4,13.4,44,42
B3T6,432,3,9.3,24,16
B3T6,439,4,9.8,23,17
B3T6,429,3,9.7,27,17
B3T6,434,4,10.4,33,19
B3T6,421,4,9.2,23,20
B3T6,442,4.2,10.7,28,21
B3T6,427,3,10.3,27,22
B3T6,423,2.5,9.7,28,22
B3T6,430,4.2,8.6,29,22
B3T6,426,3.7,8,30,22
B3T6,433,3,9.2,27,23
B3T6,441,3.7,9.8,28,23
B3T6,425,4.7,10.1,28,23
B3T6,427,4,9.5,38,23
B3T6,444,4.3,10.5,26,24
B3T6,422,3,10.2,32,25
B3T6,436,4.2,12.3,36,25
B3T6,428,4,11.9,33,26
B3T6,440,4.2,8.6,33,27
B3T6,424,4,9.5,33,28
B3T6,443,4,9,32,30
B3T6,431,4.5,9.6,32,31
B3T6,435,4,10,34,31
B3T6,438,5.2,13,36,35
B3T6,437,4.3,10.3,39,39
B3T7,370,3.5,8.1,27,17
B3T7,370,3,8.5,28.5,17
B3T7,371,3.3,9.1,30,22
B3T7,383,4.5,11.7,43,22
B3T7,380,3.7,8.4,29,25
B3T7,381,3.5,11.7,32.5,28
B3T7,372,4.2,11.2,32,29
B3T7,372,5.5,11.5,38,30
B3T7,376,4.5,10.4,40,32
B3T7,369,4,11.7,42,35
B3T7,377,4,10.8,39,37
B3T7,374,5.5,11.3,40,38
B3T7,373,4,13.7,42,41
B3T7,378,5,12.1,43,41
B3T7,375,4.5,11.4,45,44
B3T7,379,6,13.1,52,48
B4T1,644,1.4,3.3,12,8
B4T1,648,2.2,8.9,26.5,9
B4T1,642,2.1,4.4,13,11.5
B4T1,637,3,6.3,19,16
B4T1,638,2.8,5.9,21.3,16
B4T1,640,2,8.3,18,16.5
B4T1,643,1.7,5.7,20,17
B4T1,633,2.8,7.2,19,18
B4T1,635,2.4,8,20,19.3
B4T1,641,2.5,7.6,22,21.3
B4T1,645,1.2,6.8,24.7,22
B4T1,646,2.5,6.2,25,22
B4T1,639,3.5,10,26,23
B4T1,634,2.5,12.3,28,23.2
B4T1,636,2.4,9.4,28,23.5
B4T1,647,6.7,2.7,33.5,27
B4T2,NA,2,5.1,12.5,9.5
B4T2,552,3.5,11.6,33.5,26
B4T2,556,4.5,11.5,33,28
B4T2,550,4.2,9.2,35,28
B4T2,559,3.5,9.7,32,29
B4T2,564,3.7,10.7,35,30
B4T2,546,4.5,11.5,44,30
B4T2,547,4.8,12.7,35,31
B4T2,548,4.5,8.6,34.5,32
B4T2,563,4.5,12,38,32
B4T2,555,3.7,11.2,33,33
B4T2,553,3.7,10.6,39,33
B4T2,562,4.2,12.2,37,34
B4T2,551,4,13,37.5,35
B4T2,554,5.5,10.9,38,35
B4T2,558,5.5,12.5,40,35
B4T2,561,5,10,40,36
B4T2,557,5,11.9,32.5,40
B4T2,560,5.5,11.2,47,43
B4T2,549,6.2,13.3,52,45
B4T3,629,1,3.5,14,7
B4T3,612,3,7.4,22,13
B4T3,631,1.8,4.1,15,14
B4T3,614,2.3,4.6,21.5,15.5
B4T3,628,3.3,5.5,20.5,16
B4T3,630,1.5,5.3,27,16
B4T3,632,1.8,4,20,17
B4T3,611,2,6,23,17
B4T3,624,2.2,4.8,16.5,18
B4T3,610,2,5,26,18
B4T3,623,2.2,4,22,21
B4T3,618,1.7,6,24,21
B4T3,626,2.5,6,29.5,22
B4T3,619,1.5,7,25,23
B4T3,627,2.8,7.3,32,23.5
B4T3,621,2.3,7.5,27,26
B4T3,613,4.2,7.5,27,26
B4T3,617,3.4,7.8,27,26
B4T3,616,2.5,8.4,27,27
B4T3,625,2.7,9.4,25.5,29
B4T3,620,3.8,6.1,30,29
B4T3,588,4,12,38,32
B4T3,622,3.2,8.1,33,33
B4T4,587,2.3,5.1,18,11.5
B4T4,601,3.5,11.2,36,18
B4T4,596,3.5,9.3,31,24
B4T4,597,3.2,7.6,32,25
B4T4,607,2.3,9.1,41,25
B4T4,591,3.5,8.2,35,28
B4T4,608,2.8,8.7,35,28
B4T4,603,3.5,9.8,33,30
B4T4,590,4,11.8,35,31
B4T4,589,4.5,11.8,35,32
B4T4,593,3,11.3,33,33
B4T4,605,4,10,34.5,33
B4T4,598,4.5,10.4,37,33
B4T4,600,2,9.1,35,34
B4T4,602,5.3,11.6,47,34
B4T4,609,4.3,12,39.5,35
B4T4,595,3.5,11.8,41,35
B4T4,594,3,11.8,41,36
B4T4,592,4,12,40,37
B4T4,599,4.3,11.5,41,38
B4T4,606,4,11.8,42,38
B4T4,604,5,15.2,49,44
B4T5,576,3,7.6,31.5,21.5
B4T5,575,3.7,7.7,26,23
B4T5,570,4.5,9.2,34.5,25.5
B4T5,566,3.5,7.8,28,27
B4T5,585,5.2,11.2,28,27
B4T5,581,3.2,8.7,30,27
B4T5,568,2.8,7.2,26,28
B4T5,569,3,10.7,29,28
B4T5,565,4,10.4,33,28
B4T5,567,4.7,10.6,35.5,28
B4T5,583,4.5,10.8,33,29.5
B4T5,571,3.5,8.4,32,32
B4T5,584,4.2,9.6,36,33
B4T5,580,4.5,10.9,36,33
B4T5,577,2.5,10.2,35,34
B4T5,573,3.8,8.2,35.5,34
B4T5,572,3.7,9.5,39,34
B4T5,586,4.3,10.4,42,38
B4T5,579,4,11.1,45,39
B4T5,574,3.8,10.5,38,40
B4T5,578,4.8,12.6,36,44
B4T5,582,2.8,10.9,43,48
B4T6,535,3.5,9.4,23,20
B4T6,542,3.5,10.8,29,25
B4T6,543,5.5,11.7,32,31
B4T6,529,3.5,12.3,34,31
B4T6,540,4.2,12.5,35,31
B4T6,541,4,14,39,32
B4T6,533,5.2,15.2,49,32
B4T6,545,4.5,12.1,47,33
B4T6,538,5.7,15,36,34
B4T6,532,5,10.4,36.5,35
B4T6,530,5.2,13,40,36
B4T6,536,4,10.4,26,37
B4T6,537,5.8,13.4,43,37
B4T6,528,3.8,11.9,42,41
B4T6,531,4.5,12.7,43,42
B4T6,534,6,14.8,52,43
B4T6,539,5.2,12.9,49,45
B4T6,544,4.5,13.1,47,46
B4T7,522,2.5,6.5,22,9.5
B4T7,526,3.5,9.7,13,13
B4T7,527,3.2,5.1,21,13.5
B4T7,520,1.5,8.3,31,19
B4T7,516,2.8,9.7,29.5,22
B4T7,521,3.7,9.1,27,23
B4T7,514,3.5,11.2,25,24.5
B4T7,512,3.2,11.4,33,26
B4T7,524,4.5,7.9,35,26
B4T7,525,1,7,27,27
B4T7,508,3,10.7,32,27
B4T7,523,2.5,10.4,31,29
B4T7,518,4.5,10.1,33,31
B4T7,509,4,8.9,32,32
B4T7,510,5.5,11.4,47,32
B4T7,517,4.7,11.7,48,32
B4T7,513,3.8,10.6,33,33
B4T7,519,3,10.6,37,34
B4T7,511,3.8,9.4,38,35
B4T7,507,5,4.9,40,35
B5T1,709,1.3,3.1,7,5
B5T1,700,2,3,10.5,9.5
B5T1,693,2.2,5.3,17.5,12
B5T1,704,1.6,4.5,17,14
B5T1,703,3.9,1.7,19,15
B5T1,692,2.7,6,24.5,16
B5T1,696,3.2,8,19,18
B5T1,701,1.2,10.5,22,18
B5T1,687,2.5,6.4,25,19.5
B5T1,708,3,6,22,20
B5T1,688,1.7,5.9,23,20
B5T1,707,2,5.8,21,20.5
B5T1,705,3,8.1,27,21
B5T1,699,2,6.7,30,21
B5T1,691,3,7.5,24,22
B5T1,689,2.2,6.2,23.5,23.5
B5T1,706,2.3,7.2,26.5,24
B5T1,695,2,9.3,30,24
B5T1,694,2.8,8.9,29,25
B5T1,690,3.3,7.7,30,25
B5T1,697,2.7,9.2,28,27
B5T1,702,3.2,7.3,28.3,27
B5T1,698,3.7,12.2,40,38
B5T2,739,1,4.7,7,5
B5T2,733,2.3,4.1,11,9
B5T2,744,3.5,5.9,15,10
B5T2,745,1.7,6.4,20,17
B5T2,742,2.5,5.2,17,18
B5T2,734,3.5,11.1,36,22
B5T2,737,3,9.5,28,23
B5T2,740,2,9.8,30,27
B5T2,738,3.2,7,34,32
B5T2,735,3.2,9.8,35,32
B5T2,743,3.5,10.2,45,32
B5T2,746,1.7,9.5,39,33
B5T2,747,4.6,9.1,40,34
B5T2,741,4.3,13.8,44,44
B5T2,736,NA,NA,NA,NA
B5T3,725,2,4.7,19.5,1
B5T3,713,1.5,3,5,6
B5T3,722,2,2.8,9,8
B5T3,723,2.2,3.2,12.5,8
B5T3,728,1.2,2.9,13,9
B5T3,716,1,4.3,9,9.7
B5T3,710,2,3.2,10,10
B5T3,714,8.7,2.8,12,11
B5T3,711,3.3,6.3,26,11
B5T3,718,2,4.4,17,12
B5T3,732,3.3,3.5,17,13
B5T3,731,2.5,3.7,16,14
B5T3,712,3,3.6,20,15
B5T3,720,2.3,5.3,24,16
B5T3,717,1.7,7.4,14,16.5
B5T3,719,2.5,4.9,18,17
B5T3,715,2.5,6.4,24,18
B5T3,729,6.5,7.1,24,18
B5T3,721,2,5.1,18,20
B5T3,727,3,6.1,24.5,21
B5T3,730,2.9,7,29,22
B5T3,726,3.2,5.4,29,24.5
B5T3,724,NA,NA,NA,NA
B5T4,785,2.5,7.8,22,17
B5T4,782,2.2,9.9,27,19
B5T4,770,11.7,6.4,28,22
B5T4,780,3.5,8.8,27,23
B5T4,764,3,6.6,28,23.5
B5T4,781,3,6.4,25,24
B5T4,766,2.3,7.8,25,24
B5T4,784,2.5,7.4,26,24
B5T4,771,3.2,6.6,28,24
B5T4,779,2,6.9,28,24
B5T4,783,3,7.6,34,24
B5T4,712,3.1,8.3,27,26
B5T4,768,3.5,9.5,28,27
B5T4,778,3,10.7,38,27
B5T4,773,3.2,8.5,35,30
B5T4,769,4,9.7,36,30
B5T4,776,3,9.2,35,32
B5T4,774,3,9,36,32
B5T4,775,3.5,9.5,39,33
B5T4,765,3.5,9.6,39,34
B5T4,767,3.2,7.9,36,35
B5T4,777,2,10.1,29,32
B5T5,686,2.2,4.1,12,11
B5T5,685,2.7,11.2,41,15
B5T5,668,2.4,6.2,20,19.5
B5T5,675,3.3,7.6,32,23
B5T5,684,2,9.2,34,27
B5T5,672,2.7,9.3,32,28
B5T5,679,4.3,11.8,33,32
B5T5,681,4,10.3,34,33
B5T5,676,3.5,8.9,35,34
B5T5,674,3.5,14.2,37,34
B5T5,671,4.3,7.2,36,35
B5T5,673,3.4,10,36,35
B5T5,667,6,10.8,43,37
B5T5,670,4.9,12,42,39
B5T5,675,3.3,11.7,47,39
B5T5,669,4.7,13.2,38,40
B5T5,682,3.8,10.6,42,41
B5T5,680,5.2,11.4,43,42
B5T5,683,4.5,14.7,43,42
B5T5,678,5,13.2,43,42.5
B5T6,650,2.9,11.1,45,7
B5T6,656,2.5,4.3,10.5,10
B5T6,649,3,8.4,28,23
B5T6,666,3.3,9.4,41,25
B5T6,658,3.5,9.2,33,28
B5T6,655,3.5,9.3,30,29
B5T6,651,2.3,12.4,33,29
B5T6,664,3.5,10,32,31
B5T6,653,11.8,3.2,36.5,32
B5T6,652,4.5,9.8,42,33
B5T6,662,4.9,16.4,37,35
B5T6,660,4,10.6,38,35
B5T6,661,3.8,8.9,37,36
B5T6,659,3.2,9.9,39,36
B5T6,665,5.3,10.8,38,36.5
B5T6,657,4.6,11.3,39,38
B5T6,663,4.4,12.8,49,39
B5T6,654,4,9.2,35.3,40
B5T7,755,1.1,2.6,9,7.5
B5T7,760,2.7,3.5,18,15
B5T7,763,2.5,5,19.6,18
B5T7,762,5.3,4.3,31,23
B5T7,758,2.7,7.95,34,24
B5T7,748,2.3,7.5,29,25
B5T7,750,2.1,8.6,29,27
B5T7,761,2.7,6.6,32,27
B5T7,752,3,9.9,36,32
B5T7,754,5,13.7,40,32
B5T7,749,4.5,8,37,33
B5T7,753,2.8,9.7,39,38
B5T7,757,4.7,9.6,40,39
B5T7,759,3.7,8.5,44,40
B5T7,751,3.5,11.1,42,42
B5T7,756,4.7,13.7,47,44
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
